date,product_line,units_sold,revenue,region
2024-01-01,Product A,15000,750000,North
2024-01-01,Product B,10000,500000,South
2024-01-01,Product C,8000,240000,East
2024-02-01,Product A,16500,825000,North
2024-02-01,Product B,11000,550000,South
2024-02-01,Product C,8500,255000,East
2024-03-01,Product A,18000,900000,North
2024-03-01,Product B,12000,600000,South
2024-03-01,Product C,9500,285000,East
2024-04-01,Product A,19500,975000,North
2024-04-01,Product B,13000,650000,South
2024-04-01,Product C,10500,315000,East
2024-05-01,Product A,21000,1050000,North
2024-05-01,Product B,14000,700000,South
2024-05-01,Product C,11500,345000,East
2024-06-01,Product A,22500,1125000,North
2024-06-01,Product B,15000,750000,South
2024-06-01,Product C,12500,375000,East
2024-07-01,Product A,24000,1200000,North
2024-07-01,Product B,16000,800000,South
2024-07-01,Product C,13500,405000,East
2024-08-01,Product A,25500,1275000,North
2024-08-01,Product B,17000,850000,South
2024-08-01,Product C,14500,435000,East
2024-09-01,Product A,27000,1350000,North
2024-09-01,Product B,18000,900000,South
2024-09-01,Product C,15500,465000,East
2024-10-01,Product A,28500,1425000,North
2024-10-01,Product B,19000,950000,South
2024-10-01,Product C,16500,495000,East
